"Physical review letters 98 (24), 246402",,
NMR Evidence for a Magnetic Soliton Lattice in the High-Field Phase of CuGe O 3,65,1996
"Y Fagot-Revurat, M Horvatić, C Berthier, P Ségransan, G Dhalenne, ...",,
"Physical review letters 77 (9), 1861",,
Attractive Tomonaga-Luttinger liquid in a quantum spin ladder,64,2013
"M Jeong, H Mayaffre, C Berthier, D Schmidiger, A Zheludev, M Horvatić",,
"Physical review letters 111 (10), 106404",,
Nonmagnetic Insulator State in  and Phase Separation of Na Vacancies,64,2005
"C De Vaulx, MH Julien, C Berthier, M Horvatić, P Bordet, V Simonet, ...",,
"Physical review letters 95 (18), 186405",,
Quantum-critical spin dynamics in quasi-one-dimensional antiferromagnets,63,2012
"S Mukhopadhyay, M Klanjšek, MS Grbić, R Blinder, H Mayaffre, C Berthier, ...",,
"Physical review letters 109 (17), 177206",,
Uniform and staggered magnetizations induced by Dzyaloshinskii-Moriya interactions in isolated and coupled spin- dimers in a magnetic field,63,2007
"S Miyahara, JB Fouet, SR Manmana, RM Noack, H Mayaffre, I Sheikin, ...",,
"Physical Review B—Condensed Matter and Materials Physics 75 (18), 184402",,
Emergence of Orbital Nematicity in the Tetragonal Phase of BaFe2(As1−xPx)2,61,2015
"T Iye, MH Julien, H Mayaffre, M Horvatić, C Berthier, K Ishida, H Ikeda, ...",,
"journal of the physical society of japan 84 (4), 043705",,
Electronic Texture of the Thermoelectric Oxide ,61,2008
"MH Julien, C De Vaulx, H Mayaffre, C Berthier, M Horvatić, V Simonet, ...",,
"Physical review letters 100 (9), 096405",,
NMR study of the charge-density wave in  single crystal,61,1985
"P Butaud, P Segransan, C Berthier, J Dumas, C Schlenker",,
"Physical Review Letters 55 (2), 253",,
Field-induced effects of anisotropic magnetic interactions in SrCu2 (BO3) 2,59,2005
"K Kodama, S Miyahara, M Takigawa, M Horvatić, C Berthier, F Mila, ...",,
"Journal of Physics: Condensed Matter 17 (4), L61",,
Field dependence of the quantum ground state in the Shastry-Sutherland system SrCu2 (BO3) 2,58,2008
"F Levy, I Sheikin, C Berthier, M Horvatić, M Takigawa, H Kageyama, ...",,
"Europhysics Letters 81 (6), 67004",,
NMR Evidence for a “Generalized Spin-Peierls Transition” in the High-Magnetic-Field Phase of the Spin Ladder ,56,2000
"H Mayaffre, M Horvatić, C Berthier, MH Julien, P Ségransan, L Lévy, ...",,
"Physical Review Letters 85 (22), 4795",,
Charge density waves in layer structures: A NMR study on a 2H NbSe2 single crystal,54,1976
"C Berthier, D Jerome, P Molinie, J Rouxel",,
"Solid State Communications 19 (2), 131-135",,
17O NMR study of YBa2Cu3O7− δ (Tc= 92 K),53,1989
"M Horvatić, Y Berthier, P Butaud, Y Kitaoka, P Ségransan, C Berthier, ...",,
"Physica C: Superconductivity 159 (5), 689-696",,
Impurity-Induced Local Magnetism and Density of States <?format ?>in the Superconducting State of ,51,2006
"S Ouazi, J Bobroff, H Alloul, M Le Tacon, N Blanchard, G Collin, ...",,
"Physical review letters 96 (12), 127005",,
Semiconductor-metal transition upon intercalation in LixZrSe2,51,1981
"C Berthier, Y Chabre, P Segransan, P Chevalier, L Trichet, A Le Mehaute",,
"Solid State Ionics 5, 379-382",,
Field-induced magnetic behavior in quasi-one-dimensional Ising-like antiferromagnet BaCoVO: A single-crystal neutron diffraction study,47,2013
"E Canévet, B Grenier, M Klanjšek, C Berthier, M Horvatić, V Simonet, ...",,
"Physical Review B—Condensed Matter and Materials Physics 87 (5), 054408",,
Nuclear-spin-lattice relaxation rate of planar oxygen in YBa 2 Cu 3 O 6.52 and YBa 1.92 Sr 0.08 Cu 3 O 7 single crystals,46,1993
"M Horvatić, C Berthier, Y Berthier, P Ségransan, P Butaud, WG Clark, ...",,
"Physical Review B 48 (18), 13848",,
"NMR, DSC and conductivity study of the polymer solid electrolytes P (EO)(LiCp+ 1F2p+ 3SO3) x",46,1988
"W Gorecki, P Donoso, C Berthier, M Mali, J Roos, D Brinkmann, ...",,
"Solid State Ionics 28, 1018-1022",,
NMR Investigation of How Free Composite Fermions Are at ,45,2002
"N Freytag, M Horvatić, C Berthier, M Shayegan, LP Lévy",,
"Physical review letters 89 (24), 246804",,
Field Dependence of the Ground State in the Exotic Superconductor : <?format ?>A Nuclear Magnetic Resonance Investigation,44,2008
"G Koutroulakis, VF Mitrović, M Horvatić, C Berthier, G Lapertot, J Flouquet",,
"Physical review letters 101 (4), 047004",,
Spin Configuration in the  Magnetization Plateau of Azurite Determined by NMR,43,2009
"F Aimo, S Krämer, M Klanjšek, M Horvatić, C Berthier, H Kikuchi",,
"Physical Review Letters 102 (12), 127205",,
